"gene","HuDeCa nose","Human hPSC","Human medial eminence","Human HypoMap","Mouse HypoMap"
"1500009C09RIK",FALSE,FALSE,FALSE,FALSE,TRUE
"1700001L19RIK",FALSE,FALSE,FALSE,FALSE,TRUE
"1700003E16RIK",FALSE,FALSE,FALSE,FALSE,TRUE
"1700012B09RIK",FALSE,FALSE,FALSE,FALSE,TRUE
"1700056E22RIK",FALSE,FALSE,FALSE,FALSE,TRUE
"1700086L19RIK",FALSE,FALSE,FALSE,FALSE,TRUE
"2010204K13RIK",FALSE,FALSE,FALSE,FALSE,TRUE
"2300009A05RIK",FALSE,FALSE,FALSE,FALSE,TRUE
"2410006H16RIK",FALSE,FALSE,FALSE,FALSE,TRUE
"2600006K01RIK",FALSE,FALSE,FALSE,FALSE,TRUE
"4933407L21RIK",FALSE,FALSE,FALSE,FALSE,TRUE
"9130230N09RIK",FALSE,FALSE,FALSE,FALSE,TRUE
"A930003A15RIK",FALSE,FALSE,FALSE,FALSE,TRUE
"ABCA3",FALSE,TRUE,FALSE,FALSE,FALSE
"ABCA4",FALSE,FALSE,FALSE,TRUE,FALSE
"ABCC9",FALSE,FALSE,TRUE,FALSE,FALSE
"ABHD11OS",FALSE,FALSE,FALSE,FALSE,TRUE
"ABI1",FALSE,FALSE,TRUE,FALSE,FALSE
"ABLIM3",FALSE,TRUE,FALSE,FALSE,FALSE
"AC004816.1",FALSE,TRUE,FALSE,FALSE,FALSE
"AC004943.2",FALSE,TRUE,FALSE,FALSE,FALSE
"AC007938.3",FALSE,TRUE,FALSE,FALSE,FALSE
"AC092957.1",FALSE,FALSE,FALSE,TRUE,FALSE
"AC092958.2",FALSE,FALSE,FALSE,TRUE,FALSE
"AC093330.1",FALSE,FALSE,FALSE,TRUE,FALSE
"ACADL",FALSE,FALSE,TRUE,FALSE,FALSE
"ACBD7",FALSE,FALSE,FALSE,FALSE,TRUE
"ACOT7",FALSE,TRUE,FALSE,FALSE,FALSE
"ACTG1",FALSE,TRUE,FALSE,TRUE,FALSE
"ADAMTS9-AS2",FALSE,FALSE,TRUE,FALSE,FALSE
"ADAP1",FALSE,TRUE,FALSE,FALSE,FALSE
"ADGRL1",FALSE,TRUE,FALSE,FALSE,FALSE
"AES",FALSE,TRUE,FALSE,FALSE,FALSE
"AFF2",FALSE,TRUE,FALSE,FALSE,FALSE
"AHCYL1",FALSE,FALSE,TRUE,FALSE,FALSE
"AJAP1",FALSE,TRUE,FALSE,FALSE,FALSE
"AK3",FALSE,FALSE,TRUE,FALSE,FALSE
"AKR1C1",FALSE,TRUE,FALSE,FALSE,FALSE
"AKR1C2",FALSE,TRUE,FALSE,FALSE,FALSE
"AL133453.1",FALSE,FALSE,FALSE,TRUE,FALSE
"AL355338.1",FALSE,FALSE,FALSE,TRUE,FALSE
"AL359555.4",FALSE,FALSE,FALSE,TRUE,FALSE
"ALCAM",FALSE,TRUE,FALSE,FALSE,FALSE
"ALDH2",FALSE,TRUE,FALSE,FALSE,FALSE
"AMIGO2",FALSE,FALSE,FALSE,TRUE,FALSE
"ANGPT1",FALSE,FALSE,FALSE,FALSE,TRUE
"ANKRD10",FALSE,FALSE,TRUE,FALSE,FALSE
"ANKRD31",FALSE,FALSE,FALSE,FALSE,TRUE
"ANO1",FALSE,FALSE,FALSE,TRUE,FALSE
"ANP32A",FALSE,FALSE,FALSE,FALSE,TRUE
"ANTXR2",FALSE,FALSE,TRUE,FALSE,FALSE
"AP000462.1",FALSE,FALSE,FALSE,TRUE,FALSE
"AP1M2",FALSE,FALSE,FALSE,FALSE,TRUE
"AP1S1",FALSE,TRUE,FALSE,FALSE,FALSE
"AP2M1",FALSE,TRUE,FALSE,FALSE,TRUE
