dataset	gene	is_unique	known_status	program	coexpr_GNRH1	specificity_score	confidence_level
HuDeCa nose	CHRNA3	TRUE	candidate_novel	mature	TRUE	3.04509183115159	high
HuDeCa nose	RAB3C	TRUE	candidate_novel	mature	TRUE	0.948179986656809	high
HuDeCa nose	HCN1	TRUE	candidate_novel	mature	TRUE	0.578486863299044	high
HuDeCa nose	GNRH1	FALSE	known_GnRH_or_developmental	mature	TRUE	2280.7479835572	low
HuDeCa nose	CDH22	TRUE	unknown_or_context_specific	migrating	TRUE	4.33398979384679	high
HuDeCa nose	RAB3C	TRUE	candidate_novel	secreting	TRUE	0.948179986656809	high
HuDeCa nose	MIAT	TRUE	generic_neuronal	unassigned	TRUE	0.502168117604145	low
HuDeCa nose	LINC01440	TRUE	unknown_or_context_specific	unassigned	TRUE	17.849250471177	medium
HuDeCa nose	LINC01307	TRUE	unknown_or_context_specific	unassigned	TRUE	6.62299294867138	medium
HuDeCa nose	ENSG00000254409	TRUE	unknown_or_context_specific	unassigned	TRUE	3.74072849906115	medium
HuDeCa nose	GCK	TRUE	unknown_or_context_specific	unassigned	TRUE	2.87782358878176	medium
HuDeCa nose	ENSG00000261650	TRUE	unknown_or_context_specific	unassigned	TRUE	2.35503036891376	medium
HuDeCa nose	ENSG00000287645	TRUE	unknown_or_context_specific	unassigned	TRUE	2.12686453475154	medium
HuDeCa nose	MIR3663HG	TRUE	unknown_or_context_specific	unassigned	TRUE	1.51637545214934	medium
HuDeCa nose	S100Z	TRUE	candidate_novel	unassigned	TRUE	1.40073165189356	medium
HuDeCa nose	ENSG00000253476	TRUE	unknown_or_context_specific	unassigned	TRUE	1.08219584920851	medium
HuDeCa nose	ENSG00000287478	TRUE	unknown_or_context_specific	unassigned	TRUE	0.671194435578676	medium
HuDeCa nose	SLC17A6	TRUE	unknown_or_context_specific	unassigned	TRUE	0.641172022449645	medium
HuDeCa nose	KCTD16	TRUE	unknown_or_context_specific	unassigned	TRUE	0.613476154116162	medium
HuDeCa nose	SLC35F3	TRUE	unknown_or_context_specific	unassigned	TRUE	0.603763023103617	medium
HuDeCa nose	ENSG00000233393	TRUE	unknown_or_context_specific	unassigned	TRUE	0.567262754920095	medium
HuDeCa nose	LINC00469	TRUE	unknown_or_context_specific	unassigned	TRUE	0.54956092396491	medium
HuDeCa nose	MIR217HG	TRUE	unknown_or_context_specific	unassigned	TRUE	0.517418143996699	medium
HuDeCa nose	LINC02233	TRUE	unknown_or_context_specific	unassigned	TRUE	0.498312837751133	medium
HuDeCa nose	ENSG00000259543	TRUE	unknown_or_context_specific	unassigned	TRUE	0.485689762865705	medium
HuDeCa nose	GAD1	TRUE	known_GnRH_or_developmental	unassigned	TRUE	0.419320147147951	medium
HuDeCa nose	ATP8A2	TRUE	unknown_or_context_specific	unassigned	TRUE	0.404539683286357	medium
HuDeCa nose	ENSG00000255326	TRUE	unknown_or_context_specific	unassigned	TRUE	0.394054151333049	medium
HuDeCa nose	NEUROD4	TRUE	unknown_or_context_specific	unassigned	TRUE	0.381964864991803	medium
HuDeCa nose	ENSG00000231533	TRUE	unknown_or_context_specific	unassigned	TRUE	0.380211320053839	medium
HuDeCa nose	RP11-481J13.1	TRUE	unknown_or_context_specific	unassigned	TRUE	0.296093281346295	medium
HuDeCa nose	PCP4L1	TRUE	unknown_or_context_specific	unassigned	TRUE	0.249031422175808	medium
HuDeCa nose	ZC3H11C	TRUE	unknown_or_context_specific	unassigned	TRUE	0.219118500041116	medium
HuDeCa nose	LINC02476	TRUE	unknown_or_context_specific	unassigned	TRUE	0.0900711740649096	medium
Human hPSC	ARX	TRUE	unknown_or_context_specific	identity	TRUE	21.5641242356676	high
Human hPSC	DLX1	TRUE	known_GnRH_or_developmental	identity	TRUE	19.6753296191963	high
Human hPSC	DLX2	TRUE	known_GnRH_or_developmental	identity	TRUE	11.7539064678145	high
Human hPSC	KLF7	TRUE	unknown_or_context_specific	identity	TRUE	1.27870737161741	high
Human hPSC	SIX3	TRUE	known_GnRH_or_developmental	identity	TRUE	1.02854951307325	high
Human hPSC	FOXG1	TRUE	unknown_or_context_specific	identity	TRUE	0.136048916569809	high
Human hPSC	RAB3A	TRUE	unknown_or_context_specific	mature	TRUE	41.5033457733654	high
Human hPSC	VGF	TRUE	unknown_or_context_specific	mature	TRUE	4.02040602884829	high
Human hPSC	CHGA	TRUE	unknown_or_context_specific	mature	TRUE	3.25526198720743	high
Human hPSC	GNRH1	FALSE	known_GnRH_or_developmental	mature	TRUE	2697.24292638086	low
Human hPSC	RIPOR2	TRUE	known_GnRH_or_developmental	migrating	TRUE	28.7302882840404	high
Human hPSC	CTNNA2	TRUE	unknown_or_context_specific	migrating	TRUE	8.51318848585247	high
Human hPSC	UNC5D	TRUE	known_GnRH_or_developmental	migrating	TRUE	4.28885588675393	high
Human hPSC	ROBO2	TRUE	unknown_or_context_specific	migrating	TRUE	1.53219719176122	high
Human hPSC	RAB3A	TRUE	unknown_or_context_specific	secreting	TRUE	41.5033457733654	high
Human hPSC	EEF1A2	TRUE	generic_neuronal	unassigned	TRUE	34.139884746845	low
Human hPSC	TUBB2A	TRUE	generic_neuronal	unassigned	TRUE	14.9269477017832	low
Human hPSC	TRAPPC1	TRUE	unknown_or_context_specific	unassigned	TRUE	-0.00517894810778444	low
Human hPSC	ATP5F1E	TRUE	unknown_or_context_specific	unassigned	TRUE	-0.0130380368399985	low
Human hPSC	PRDX5	TRUE	unknown_or_context_specific	unassigned	TRUE	-0.076988461394328	low
Human hPSC	GRIA2	TRUE	unknown_or_context_specific	unassigned	TRUE	109.683160676604	medium
Human hPSC	MAPT	TRUE	unknown_or_context_specific	unassigned	TRUE	81.6903539013095	medium
Human hPSC	GRID2	TRUE	unknown_or_context_specific	unassigned	TRUE	80.6669306810735	medium
Human hPSC	PRKACB	TRUE	unknown_or_context_specific	unassigned	TRUE	61.1995544848118	medium
