gene	avg_log2FC	p_val_adj	method_support	pct.1	pct.2	specificity	pct1	pct2	spec	coexpr	coexpr_flag	score
GNRH1	9.86216576606217	0	1	1	0.0883534136546185	0.911646586345382	1	0.0883534136546185	0.911646586345382	1	TRUE	6.23195443235382
GRIA2	2.3292994933586	4.87332339281355e-106	1	0.590563165905632	0.143430866322433	0.447132299583199	0.590563165905632	0.143430866322433	0.447132299583199	0.333712547890835	TRUE	0.185136714075258
DLX5	2.39674663655923	2.83397613305264e-79	1	0.386605783866058	0.0654044750430293	0.321201308823029	0.386605783866058	0.0654044750430293	0.321201308823029	0.528923225829666	TRUE	0.175489729840806
RALYL	3.04336720698555	1.08882574656861e-70	1	0.32572298325723	0.0499139414802065	0.275809041777023	0.32572298325723	0.0499139414802065	0.275809041777023	0.440699232211746	TRUE	0.146337224227953
VCAN	1.84269987738991	1.07267551331217e-62	1	0.751902587519026	0.528973034997131	0.222929552521895	0.751902587519026	0.528973034997131	0.222929552521895	0.532809092481683	TRUE	0.131552810102221
SEMA3C	4.66361863736044	2.23385669721083e-60	1	0.202435312024353	0.0120481927710843	0.190387119253269	0.202435312024353	0.0120481927710843	0.190387119253269	0.471043671587087	TRUE	0.130433864585427
MEF2C	3.23523485230125	3.25252314408325e-47	1	0.289193302891933	0.0671256454388985	0.222067657453035	0.289193302891933	0.0671256454388985	0.222067657453035	0.453006389134224	TRUE	0.121315146721849
GAD2	2.22360604763321	1.893735709859e-63	1	0.334855403348554	0.0590935169248422	0.275761886423712	0.334855403348554	0.0590935169248422	0.275761886423712	0.459226933439895	TRUE	0.112946702421754
DLX6-AS1	2.46970836947306	4.27159177489345e-65	1	0.30441400304414	0.044750430292599	0.259663572751541	0.30441400304414	0.044750430292599	0.259663572751541	0.446928964431111	TRUE	0.109610706523815
NEFL	1.10606177045	3.95165237761984e-80	1	0.942161339421613	0.599541021227768	0.342620318193845	0.942161339421613	0.599541021227768	0.342620318193845	0.420564494798427	TRUE	0.10722923365949
ARX	2.38036523401975	2.47536119972555e-41	1	0.312024353120244	0.0889271371199082	0.223097216000335	0.312024353120244	0.0889271371199082	0.223097216000335	0.498987987950747	TRUE	0.102600044064664
GRID2	2.36468795599155	1.43293478222459e-89	1	0.490106544901065	0.1061388410786	0.383967703822465	0.490106544901065	0.1061388410786	0.383967703822465	0.229695683765104	TRUE	0.101202696109673
SCGN	4.3603496842125	1.99684678594068e-54	1	0.208523592085236	0.0189328743545611	0.189590717730675	0.208523592085236	0.0189328743545611	0.189590717730675	0.344523033329945	TRUE	0.0901487506471224
DLX1	1.87537249581832	6.31860333887752e-44	1	0.336377473363775	0.093516924842226	0.242860548521549	0.336377473363775	0.093516924842226	0.242860548521549	0.486301158296418	TRUE	0.089040733923274
DLX6	2.21404772977704	6.36318174092556e-54	1	0.278538812785388	0.0458978772231784	0.23264093556221	0.278538812785388	0.0458978772231784	0.23264093556221	0.456685245964785	TRUE	0.0860514944378104
PRKACB	1.73285059893328	1.20245228467338e-88	1	0.722983257229833	0.321285140562249	0.401698116667584	0.722983257229833	0.321285140562249	0.401698116667584	0.19952435165242	TRUE	0.0818552248290335
EEF1A2	1.62642502610116	1.1019250139027e-60	1	0.569254185692542	0.219162363740677	0.350091821951865	0.569254185692542	0.219162363740677	0.350091821951865	0.251701348008725	TRUE	0.074951466204275
ZFHX3	1.40979296181601	9.30342645267131e-93	1	0.91324200913242	0.667240390131956	0.246001619000464	0.91324200913242	0.667240390131956	0.246001619000464	0.32562189453445	TRUE	0.0748040830377143
NSG1	1.26566099686934	3.44529135031988e-95	1	0.923896499238965	0.493402180149168	0.430494319089797	0.923896499238965	0.493402180149168	0.430494319089797	0.166082380301146	TRUE	0.0602900305633368
DLX2	1.61797232765721	1.5625796983296e-34	1	0.308980213089802	0.0940906483075158	0.214889564782286	0.308980213089802	0.0940906483075158	0.214889564782286	0.449047525348952	TRUE	0.060154693519637
ECEL1	2.2489892639443	2.75337043662683e-33	1	0.277016742770167	0.0831899024670109	0.193826840303157	0.277016742770167	0.0831899024670109	0.193826840303157	0.377916330858152	TRUE	0.0601001323019452
RASD1	2.06998823890992	3.275253639773e-25	1	0.278538812785388	0.102122776821572	0.176416035963816	0.278538812785388	0.102122776821572	0.176416035963816	0.442272110007675	TRUE	0.0590831731506882
LY6H	1.9983652169063	6.70529635050312e-65	1	0.473363774733638	0.135972461273666	0.337391313459972	0.473363774733638	0.135972461273666	0.337391313459972	0.182306303454745	TRUE	0.0586183263924614
FGF3	4.46273628047716	1.11797413930263e-37	1	0.138508371385084	0.00975329890992542	0.128755072475158	0.138508371385084	0.00975329890992542	0.128755072475158	0.353844822176044	TRUE	0.0524495647479082
