gene	avg_log2FC	p_val_adj	method_support	pct.1	pct.2	specificity	pct1	pct2	spec	coexpr	coexpr_flag	score
GNRH1	7.7300389207158	0	1	1	0.0165	0.9835	1	0.0165	0.9835	1	TRUE	5.26964678123484
KLHL1	3.63748008022781	3.94291096773082e-12	1	0.2	0.039	0.161	0.2	0.039	0.161	0.402821037588065	TRUE	0.0731272265263675
LINC01440	5.93266954022229	1.72803938249396e-25	1	0.128	0.0065	0.1215	0.128	0.0065	0.1215	0.348934457482541	TRUE	0.0623735898667562
MIAT	2.010066747015	0.0197105642163697	1	0.28	0.1335	0.1465	0.28	0.1335	0.1465	0.311204709703485	TRUE	0.033612339486579
SLC35F3	2.4042444195901	0.00807795758491018	1	0.184	0.064	0.12	0.184	0.064	0.12	0.339915437032293	TRUE	0.0291584962868228
RAB3C	2.23718838771378	0.000381982448985583	1	0.176	0.052	0.124	0.176	0.052	0.124	0.352463773343572	TRUE	0.0284328584426723
CDH22	3.89598261037796	1.69162168115128e-12	1	0.104	0.0095	0.0945	0.104	0.0095	0.0945	0.327267777979112	TRUE	0.0269335870239426
CHRNA3	2.68421521472023	1.98471504592474e-11	1	0.12	0.014	0.106	0.12	0.014	0.106	0.357715417403289	TRUE	0.0244386347999023
HCN1	2.23969873924694	0.0062002892934787	1	0.176	0.059	0.117	0.176	0.059	0.117	0.314184693058452	TRUE	0.0239409998986826
CNGB1	2.14536679523404	0.00146104486823149	1	0.168	0.051	0.117	0.168	0.051	0.117	0.315263718305703	TRUE	0.0224823400161578
LINC01307	4.58336603860407	1.07914350691373e-16	1	0.096	0.0055	0.0905	0.096	0.0055	0.0905	0.244754599108659	TRUE	0.0218034420771854
PDE11A	3.33026211896986	3.43529667308391e-11	1	0.128	0.0165	0.1115	0.128	0.0165	0.1115	0.227969100888867	TRUE	0.0209922851508943
ENSG00000287645	3.80869015770854	6.92972697065426e-08	1	0.088	0.01	0.078	0.088	0.01	0.078	0.273380035046748	TRUE	0.0166995142337063
LINC02058	3.04826248230473	2.44529722705951e-09	1	0.088	0.0085	0.0795	0.088	0.0085	0.0795	0.307360286852975	TRUE	0.0153156008532053
KCTD16	1.82450624896296	0.00791563399813053	1	0.312	0.152	0.16	0.312	0.152	0.16	0.131897125973141	TRUE	0.0149074522965639
ATP8A2	1.7406857489908	0.0341773434448131	1	0.336	0.1775	0.1585	0.336	0.1775	0.1585	0.127024186606833	TRUE	0.0140809242663834
ELFN1	2.04809821405525	0.000973788465792376	1	0.176	0.053	0.123	0.176	0.053	0.123	0.188692259601356	TRUE	0.0138226646082708
GCK	4.3580678329897	1.49516755718533e-11	1	0.064	0.003	0.061	0.064	0.003	0.061	0.277701171391178	TRUE	0.0129454448969313
GAD1	1.48881654620347	0.00167940893364779	1	0.136	0.0345	0.1015	0.136	0.0345	0.1015	0.296658418129468	TRUE	0.0114593193041396
S100Z	1.66353026913602	2.34365325782368e-07	1	0.16	0.033	0.127	0.16	0.033	0.127	0.188074063270702	TRUE	0.011016630626518
PTPRN	3.63809742231291	2.43804717485878e-14	1	0.072	0.003	0.069	0.072	0.003	0.069	0.212772255463211	TRUE	0.00993413647118188
MIR217HG	1.64566524776152	0.00043380718449787	1	0.12	0.0265	0.0935	0.12	0.0265	0.0935	0.2671761189422	TRUE	0.00987112905477502
LINC02233	2.64377869553179	0.000861394230253795	1	0.072	0.0105	0.0615	0.072	0.0105	0.0615	0.301200561137728	TRUE	0.00910851756633624
RASD1	3.00300987151914	5.75829386669818e-05	1	0.072	0.009	0.063	0.072	0.009	0.063	0.230726649800878	TRUE	0.00811870532472489
SLC17A6	1.93713191223384	0.00101067604086859	1	0.152	0.0415	0.1105	0.152	0.0415	0.1105	0.138759159095914	TRUE	0.00802657721733135
MIR3663HG	4.8069689048779	8.15543608716258e-09	1	0.04	0.001	0.039	0.04	0.001	0.039	0.288051842797123	TRUE	0.00748621049784002
ENSG00000261650	7.20487955668742	6.10149976628081e-11	1	0.032	0	0.032	0.032	0	0.032	0.205087793153607	TRUE	0.00586296046353674
NECAB2	2.75779655400945	9.92109917493821e-05	1	0.08	0.0115	0.0685	0.08	0.0115	0.0685	0.130685723242468	TRUE	0.00484006725387911
ENSG00000287478	4.42063799466657	1.26529740536701e-05	1	0.032	0.001	0.031	0.032	0.001	0.031	0.239934716799734	TRUE	0.00407699508459313
ENSG00000253476	6.76046777903768	2.13856391995824e-07	1	0.024	0	0.024	0.024	0	0.024	0.22678744138746	TRUE	0.00395128241979129
ENSG00000231533	2.59683344232579	0.00380139608923844	1	0.072	0.0115	0.0605	0.072	0.0115	0.0605	0.134222637165777	TRUE	0.00392208450555742
ENSG00000259543	1.88675533638962	0.000791674264798271	1	0.104	0.021	0.083	0.104	0.021	0.083	0.110669797494574	TRUE	0.00387404735729899
ENSG00000233393	6.55412623826989	0.000207491811035233	1	0.024	5e-04	0.0235	0.024	5e-04	0.0235	0.204121443975275	TRUE	0.00337599953479396
PCP4L1	2.49654775538709	0.0142158216257968	1	0.064	0.01	0.054	0.064	0.01	0.054	0.138169874573476	TRUE	0.00326634797050207
NEUROD4	3.52443541145986	0.00117737256750864	1	0.04	0.003	0.037	0.04	0.003	0.037	0.1494507032211	TRUE	0.0027017471362336
LINC02476	1.49372053823286	0.0366681073415985	1	0.048	0.006	0.042	0.048	0.006	0.042	0.280155450073254	TRUE	0.00266909356437451
ENSG00000254409	5.47323645149318	2.88059374387409e-13	1	0.056	0.0015	0.0545	0.056	0.0015	0.0545	0.0506860851774323	TRUE	0.00247998432926827
RP11-481J13.1	3.06215711537093	0.010146169953756	1	0.056	0.0075	0.0485	0.056	0.0075	0.0485	0.0799921103918253	TRUE	0.00194865895623341
SIX6	1.61053516442211	0.0011938686158397	1	0.04	0.003	0.037	0.04	0.003	0.037	0.196504690672646	TRUE	0.00162330570180176
LINC00469	3.61274452166423	1.23876944770273e-05	1	0.032	0.001	0.031	0.032	0.001	0.031	0.109224313539604	TRUE	0.00151676646863458
ENSG00000255326	3.80284691854948	0.000400493766833467	1	0.032	0.0015	0.0305	0.032	0.0015	0.0305	0.0818376268052272	TRUE	0.00117696123760784
ZC3H11C	5.07184885460684	0.013231641311024	1	0.024	0.001	0.023	0.024	0.001	0.023	0.0916605519071486	TRUE	0.00114817394802168
