gene	avg_log2FC	p_val_adj	method_support	pct.1	pct.2	specificity	pct1	pct2	spec	coexpr	coexpr_flag	score
GNRH1	6.95315082831621	0	1	1	0.0185	0.9815	1	0.0185	0.9815	1	TRUE	4.7303950901413
AC092957.1	1.95688386851659	5.82533315653243e-17	1	0.175	0.044	0.131	0.175	0.044	0.131	0.157958415507714	TRUE	0.0117415005520868
SLC5A7	4.33985646472988	2.54942835177895e-25	1	0.14	0.0195	0.1205	0.14	0.0195	0.1205	0.0774192814165459	TRUE	0.0105002835712428
ATP6V0C	0.333494916856067	7.94617734158504e-20	1	0.7825	0.3815	0.401	0.7825	0.3815	0.401	0.126078559471777	TRUE	0.0103381412973009
NTRK1	3.93058029558425	2.61239649619226e-34	1	0.135	0.0105	0.1245	0.135	0.0105	0.1245	0.0813745608244094	TRUE	0.0101416128382203
PGRMC1	0.37867665429733	2.2365311645771e-20	1	0.715	0.34	0.375	0.715	0.34	0.375	0.113581276681958	TRUE	0.00945333453482857
VAMP2	0.443312278997811	1.27075234745256e-16	1	0.845	0.4735	0.3715	0.845	0.4735	0.3715	0.0898293993209602	TRUE	0.00942629202305851
TMEM158	1.17798787422025	2.73308385864475e-27	1	0.375	0.1235	0.2515	0.375	0.1235	0.2515	0.0722559519978725	TRUE	0.00908643515686842
CALY	0.500418953458037	4.12594499934872e-33	1	0.8	0.3535	0.4465	0.8	0.3535	0.4465	0.0647802555770298	TRUE	0.00897363343836936
ECEL1	1.33563999952391	8.02592661351347e-25	1	0.2825	0.081	0.2015	0.2825	0.081	0.2015	0.0891951295859249	TRUE	0.00884382815425517
SLC22A17	0.406462830818857	1.68154511791111e-20	1	0.835	0.4225	0.4125	0.835	0.4225	0.4125	0.0818390542284301	TRUE	0.00869108687256817
ZIC2	2.42613880216275	1.30267352575249e-19	1	0.1075	0.0135	0.094	0.1075	0.0135	0.094	0.16250481566652	TRUE	0.00842246909115666
ZIC1	0.382988485831476	2.24213833700466e-09	1	0.3425	0.1565	0.186	0.3425	0.1565	0.186	0.269277354073117	TRUE	0.00778133731351048
ZIC4	0.947074776712831	1.37566182094346e-22	1	0.2	0.0445	0.1555	0.2	0.0445	0.1555	0.167691215977285	TRUE	0.00765535678926744
RTN1	0.44534287314666	7.56569142092008e-16	1	0.9125	0.5915	0.321	0.9125	0.5915	0.321	0.0788237533896769	TRUE	0.00746102590212287
TIMP2	0.328009744525933	5.16698830936486e-22	1	0.7975	0.3845	0.413	0.7975	0.3845	0.413	0.0887683851250173	TRUE	0.00744364964579018
CCNI	0.250369854779662	2.42856626778171e-22	1	0.7875	0.372	0.4155	0.7875	0.372	0.4155	0.114717929284612	TRUE	0.00734065996334221
SARAF	0.283958154253611	3.90100778734316e-16	1	0.8675	0.4625	0.405	0.8675	0.4625	0.405	0.0964504973725175	TRUE	0.00716100607405232
ACTG1	0.276786793592913	4.9017974306519e-22	1	0.785	0.3785	0.4065	0.785	0.3785	0.4065	0.0903204120433142	TRUE	0.00624097027641376
SOD1	0.261160522682736	5.72559279267485e-27	1	0.705	0.2975	0.4075	0.705	0.2975	0.4075	0.0978135220202156	TRUE	0.0060583458041394
AMIGO2	1.60927248896643	6.20922069584214e-27	1	0.2625	0.0675	0.195	0.2625	0.0675	0.195	0.053932761962607	TRUE	0.00601044980838356
PTPRS	0.351653392661648	8.05140811992013e-14	1	0.895	0.522	0.373	0.895	0.522	0.373	0.0546843025763569	TRUE	0.0047035233016274
NNAT	0.367852872837938	1.24290338411301e-19	1	0.5	0.2175	0.2825	0.5	0.2175	0.2825	0.0906519172109852	TRUE	0.00461721460760796
AP000462.1	0.279275232054032	8.04547897651066e-22	1	0.59	0.254	0.336	0.59	0.254	0.336	0.0882318491601816	TRUE	0.00440807065339431
TUBB2B	0.480015932351801	7.2897559767288e-30	1	0.5	0.1765	0.3235	0.5	0.1765	0.3235	0.0542470490388426	TRUE	0.00412873034094815
SLC17A8	2.25038742414151	2.44770968318328e-24	1	0.1275	0.0155	0.112	0.1275	0.0155	0.112	0.0535776767551246	TRUE	0.00334225626483842
CRABP1	1.5116141221878	4.33317664940443e-13	1	0.1375	0.033	0.1045	0.1375	0.033	0.1045	0.0771377461371377	TRUE	0.00313185023853631
ELFN1	1.13747997487721	9.28894986142486e-14	1	0.1525	0.0385	0.114	0.1525	0.0385	0.114	0.0787403726899029	TRUE	0.00276379902945363
COL6A5	3.32804277895228	1.02857334807525e-10	1	0.045	0.0025	0.0425	0.045	0.0025	0.0425	0.129782808444412	TRUE	0.00269914810859196
OTX2	1.64239015966156	2.65245453440474e-08	1	0.06	0.0085	0.0515	0.06	0.0085	0.0515	0.182675834875454	TRUE	0.00262340746761735
IQGAP2	1.03855089131649	1.95091324746496e-19	1	0.165	0.0345	0.1305	0.165	0.0345	0.1305	0.0672000405506585	TRUE	0.00256433796858053
SFRP1	0.719788566057356	6.7362646204012e-08	1	0.13	0.0395	0.0905	0.13	0.0395	0.0905	0.155962319440675	TRUE	0.00253904469144256
AL355338.1	2.57723977145347	1.2427891167543e-09	1	0.0425	0.0025	0.04	0.0425	0.0025	0.04	0.159187670593401	TRUE	0.0023450071422222
ZIC5	1.35851505960822	8.99461079714165e-09	1	0.0675	0.0105	0.057	0.0675	0.0105	0.057	0.153631770122345	TRUE	0.00214238586687965
SCAND1	0.32181913693086	5.96128310164512e-25	1	0.345	0.1075	0.2375	0.345	0.1075	0.2375	0.0683003485572676	TRUE	0.00212536443189317
TRPM3	0.264432626633947	2.56672877626497e-07	1	0.615	0.361	0.254	0.615	0.361	0.254	0.0572264120982672	TRUE	0.00208933602433836
SLC18A3	3.77408882705652	1.88081579223329e-08	1	0.0325	0.001	0.0315	0.0325	0.001	0.0315	0.107240946959458	TRUE	0.00159312720195131
ABCA4	2.84211450745675	0.000195427021830839	1	0.0425	0.0065	0.036	0.0425	0.0065	0.036	0.0980595278344464	TRUE	0.001433685180287
ANO1	3.35709595613373	8.57354952836054e-07	1	0.0375	0.003	0.0345	0.0375	0.003	0.0345	0.0907621276493426	TRUE	0.00141100519574797
ZIC3	2.22499797937235	2.24801648025796e-10	1	0.0675	0.009	0.0585	0.0675	0.009	0.0585	0.054618277328162	TRUE	0.00128026782961148
BMPR1B-DT	3.50060722237603	2.68712557326219e-06	1	0.0275	0.001	0.0265	0.0275	0.001	0.0265	0.117239650016744	TRUE	0.00125013115833797
FJX1	1.33094230322299	3.0364376298621e-11	1	0.085	0.014	0.071	0.085	0.014	0.071	0.0644076807330516	TRUE	0.0012299576627978
TC2N	1.11673441838653	2.55913355552566e-09	1	0.0975	0.0215	0.076	0.0975	0.0215	0.076	0.0626124406273788	TRUE	0.00115014314572447
GBX2	3.36814152877048	8.3451409574378e-10	1	0.045	0.003	0.042	0.045	0.003	0.042	0.0515239628770194	TRUE	0.00107171818316865
SMIM1	3.63783481163528	0.00234379335043504	1	0.035	0.005	0.03	0.035	0.005	0.03	0.0701274594174912	TRUE	0.000992457271418169
SLC15A1	2.97516760805198	1.09166260745766e-05	1	0.04	0.0045	0.0355	0.04	0.0045	0.0355	0.0585280129811643	TRUE	0.000856956992638693
PTH	2.56425377153484	0.000313397641680399	1	0.025	0.0015	0.0235	0.025	0.0015	0.0235	0.119800519449348	TRUE	0.000791194084903647
MGC32805	1.53985475896588	0.00125772303863814	1	0.065	0.017	0.048	0.065	0.017	0.048	0.0602350630931782	TRUE	0.000786778540365791
SMIM32	2.16085429444257	0.00108603072675641	1	0.0375	0.0055	0.032	0.0375	0.0055	0.032	0.0727031274383788	TRUE	0.000674791572311776
SHISA2	2.93689380231191	0.000179591037088859	1	0.035	0.004	0.031	0.035	0.004	0.031	0.053909612096229	TRUE	0.000636466612762484
AL133453.1	0.471037818282162	0.000123052368691811	1	0.13	0.0485	0.0815	0.13	0.0485	0.0815	0.0549620926009648	TRUE	0.000527319440031888
LINC02032	3.02843986037396	3.24910900365798e-05	1	0.025	0.001	0.024	0.025	0.001	0.024	0.0652454608996087	TRUE	0.00051972781980261
KLHL14	1.38136214150122	0.0058672356971757	1	0.055	0.0135	0.0415	0.055	0.0135	0.0415	0.052577805628972	TRUE	0.000489964831298023
AC093330.1	1.58239964056051	0.0100261409357722	1	0.0425	0.0085	0.034	0.0425	0.0085	0.034	0.0521831104422187	TRUE	0.000401185271795279
AC092958.2	3.06300826077187	0.000383317058436973	1	0.0225	0.001	0.0215	0.0225	0.001	0.0215	0.0570172746165625	TRUE	0.000390399994260057
