gene	avg_log2FC	p_val_adj	method_support	pct.1	pct.2	specificity	pct1	pct2	spec	coexpr	coexpr_flag	score
GNRH1	8.48641107053766	0	1	1	0.031	0.969	1	0.031	0.969	1	TRUE	5.6999796175108
LINC01088	1.11050221724	5.82088642508733e-06	1	0.540372670807453	0.295	0.245372670807453	0.540372670807453	0.295	0.245372670807453	0.21520794755374	TRUE	0.0298796891528358
KCTD9	1.78799048277542	7.1378108828165e-29	1	0.614906832298137	0.199	0.415906832298137	0.614906832298137	0.199	0.415906832298137	0.0566146667532637	TRUE	0.0228833884658397
BCL6	0.448789026097147	1.20216578994033e-05	1	0.75776397515528	0.45	0.30776397515528	0.75776397515528	0.45	0.30776397515528	0.233516936551764	TRUE	0.0194612546167057
MGST1	0.803699970946942	0.000185085596111197	1	0.440993788819876	0.23	0.210993788819876	0.440993788819876	0.23	0.210993788819876	0.234661047948849	TRUE	0.018316661800738
ADAMTS9-AS2	0.903485148459616	0.0053521292361782	1	0.447204968944099	0.2705	0.176704968944099	0.447204968944099	0.2705	0.176704968944099	0.244590078896612	TRUE	0.0181003673240639
LINC00472	0.670062942696996	4.10132987683128e-07	1	0.540372670807453	0.275	0.265372670807453	0.540372670807453	0.275	0.265372670807453	0.197191488075976	TRUE	0.0178661966276179
PARD3B	0.60677223931243	0.00114250859978569	1	0.639751552795031	0.3975	0.242251552795031	0.639751552795031	0.3975	0.242251552795031	0.214476839602521	TRUE	0.0174784859348863
TRPS1	0.438739589726748	0.00368465513827233	1	0.850931677018634	0.592	0.258931677018634	0.850931677018634	0.592	0.258931677018634	0.231620347325909	TRUE	0.0168244751125291
LIFR	0.518369035399276	5.06155604042461e-06	1	0.68944099378882	0.3865	0.30294099378882	0.68944099378882	0.3865	0.30294099378882	0.165928894533277	TRUE	0.01499661109766
GLIS3	0.828972784338313	1.14939009493821e-05	1	0.627329192546584	0.3555	0.271829192546584	0.627329192546584	0.3555	0.271829192546584	0.120378985826949	TRUE	0.0148922479277104
AHCYL1	0.423892911554018	0.000184105843395273	1	0.788819875776398	0.4805	0.308319875776398	0.788819875776398	0.4805	0.308319875776398	0.178334164365505	TRUE	0.0143485036054841
MIR99AHG	0.619639735777722	0.0103887502349833	1	0.838509316770186	0.6105	0.228009316770186	0.838509316770186	0.6105	0.228009316770186	0.158213467597175	TRUE	0.0141877886308663
PAXIP1-AS2	1.37142282351836	0.00226406591135053	1	0.198757763975155	0.0745	0.124257763975155	0.198757763975155	0.0745	0.124257763975155	0.257243755186275	TRUE	0.0135465049456352
PDLIM5	0.496247231780425	0.000266436216634889	1	0.68944099378882	0.4225	0.26694099378882	0.68944099378882	0.4225	0.26694099378882	0.173382600439061	TRUE	0.0132188262702299
YAP1	0.596027369383495	0.0068652994871086	1	0.391304347826087	0.204	0.187304347826087	0.391304347826087	0.204	0.187304347826087	0.269658867955494	TRUE	0.0130530369145458
MSI2	0.337740220618237	0.00189726409157805	1	0.919254658385093	0.689	0.230254658385093	0.919254658385093	0.689	0.230254658385093	0.247522795957728	TRUE	0.0127923340248444
SERPINI2	1.28739511082603	1.63744347449709e-07	1	0.366459627329193	0.1535	0.212959627329193	0.366459627329193	0.1535	0.212959627329193	0.110500773172605	TRUE	0.0127119735112559
BMPR1B	0.533087663130007	0.0189701374154162	1	0.385093167701863	0.203	0.182093167701863	0.385093167701863	0.203	0.182093167701863	0.301531418408215	TRUE	0.0125902171731905
OSMR-AS1	0.557471559021692	1.22464902362776e-07	1	0.335403726708075	0.124	0.211403726708075	0.335403726708075	0.124	0.211403726708075	0.263213866517088	TRUE	0.0124524131750934
LPP	0.373922425226889	0.00184654829138824	1	0.944099378881988	0.6495	0.294599378881988	0.944099378881988	0.6495	0.294599378881988	0.161360826528681	TRUE	0.0119714226964945
VCAN	0.728255189607091	4.86472676247988e-05	1	0.322981366459627	0.139	0.183981366459627	0.322981366459627	0.139	0.183981366459627	0.217123258937422	TRUE	0.0114598246401032
RANBP3L	1.00217447921027	0.00103030991677366	1	0.316770186335404	0.1465	0.170270186335404	0.316770186335404	0.1465	0.170270186335404	0.167603982495476	TRUE	0.0111574229208329
MAPK4	0.659555328872709	0.000101564005377425	1	0.527950310559006	0.293	0.234950310559006	0.527950310559006	0.293	0.234950310559006	0.142433266971431	TRUE	0.0111163107473488
CHI3L1	1.77305529222101	0.00611103699798269	1	0.260869565217391	0.115	0.145869565217391	0.260869565217391	0.115	0.145869565217391	0.116958358847002	TRUE	0.0107091598607796
ANKRD10	0.420499818307392	1.44206856295659e-05	1	0.838509316770186	0.501	0.337509316770186	0.838509316770186	0.501	0.337509316770186	0.115267362736289	TRUE	0.0103833463899401
SORBS1	0.431976717171627	0.000101366844102721	1	0.881987577639752	0.5955	0.286487577639752	0.881987577639752	0.5955	0.286487577639752	0.125278119698893	TRUE	0.0100924836996674
ABCC9	1.16479780732746	5.91658003976557e-05	1	0.192546583850932	0.062	0.130546583850932	0.192546583850932	0.062	0.130546583850932	0.213264839847668	TRUE	0.00986344635610592
CASP7	0.981497447955428	0.000194913538258156	1	0.24223602484472	0.0915	0.15073602484472	0.24223602484472	0.0915	0.15073602484472	0.195064009207305	TRUE	0.0098452830249416
ZIC1	1.15794500575997	0.011028989713855	1	0.248447204968944	0.112	0.136447204968944	0.248447204968944	0.112	0.136447204968944	0.176184907046245	TRUE	0.00961753550256413
GMPR	0.841850820292597	0.00108747494331427	1	0.341614906832298	0.165	0.176614906832298	0.341614906832298	0.165	0.176614906832298	0.155187243303553	TRUE	0.0093478639344552
SAMD4A	0.594335857268613	2.28855001554458e-05	1	0.801242236024845	0.5005	0.300742236024845	0.801242236024845	0.5005	0.300742236024845	0.082399107622571	TRUE	0.00913810709826399
FRMPD2	0.844828677899534	0.000715473034909494	1	0.248447204968944	0.099	0.149447204968944	0.248447204968944	0.099	0.149447204968944	0.205701308826954	TRUE	0.00897296592357216
NR2F1	0.805543639380401	0.0187838532755097	1	0.322981366459627	0.159	0.163981366459627	0.322981366459627	0.159	0.163981366459627	0.16950689940966	TRUE	0.00882033639096542
SPATA6	0.258398671915493	0.000105477999915788	1	0.788819875776398	0.498	0.290819875776398	0.788819875776398	0.498	0.290819875776398	0.186071367964871	TRUE	0.00860811966763242
PLEKHG1	0.426873033229235	0.0221034783478364	1	0.478260869565217	0.2675	0.210760869565217	0.478260869565217	0.2675	0.210760869565217	0.198409004715583	TRUE	0.00855673270983036
WLS	0.356607552732701	0.000547545979966807	1	0.559006211180124	0.298	0.261006211180124	0.559006211180124	0.298	0.261006211180124	0.157607507540377	TRUE	0.00760242349063815
MKLN1	0.385717109148215	0.0109776415361909	1	0.975155279503106	0.7445	0.230655279503105	0.975155279503106	0.7445	0.230655279503105	0.124619885986988	TRUE	0.00758895542070349
OSBPL9	0.480437896060998	5.33101318894191e-07	1	0.900621118012422	0.5635	0.337121118012422	0.900621118012422	0.5635	0.337121118012422	0.0692597683456514	TRUE	0.00737905544790981
ANTXR2	0.720045573939841	0.00296196021267993	1	0.391304347826087	0.203	0.188304347826087	0.391304347826087	0.203	0.188304347826087	0.125123374612904	TRUE	0.00735599761144051
METTL15	0.514214745821552	9.07897954297276e-07	1	0.84472049689441	0.537	0.30772049689441	0.84472049689441	0.537	0.30772049689441	0.0704676986731767	TRUE	0.00710351034595147
ITGB5	0.428072155563015	7.51947641582506e-05	1	0.322981366459627	0.1375	0.185481366459627	0.322981366459627	0.1375	0.185481366459627	0.225827994819679	TRUE	0.00706332581129746
UST	0.356836048197492	0.010070808915336	1	0.496894409937888	0.274	0.222894409937888	0.496894409937888	0.274	0.222894409937888	0.180409523781404	TRUE	0.0070110792228062
BOC	1.0226339056477	0.00196108475842952	1	0.273291925465839	0.122	0.151291925465839	0.273291925465839	0.122	0.151291925465839	0.12463282641379	TRUE	0.00698726545824957
PDLIM3	1.11744253038485	0.0101618814668482	1	0.198757763975155	0.0785	0.120257763975155	0.198757763975155	0.0785	0.120257763975155	0.167915499106448	TRUE	0.00697295107676281
RP11-437L7.2	0.455800285611229	0.0203488327845169	1	0.267080745341615	0.1185	0.148580745341615	0.267080745341615	0.1185	0.148580745341615	0.283505560215276	TRUE	0.00687773529905297
CRYBG3	0.33650817830287	0.00123880569461636	1	0.440993788819876	0.227	0.213993788819876	0.440993788819876	0.227	0.213993788819876	0.206420818781232	TRUE	0.00684214045976696
PPP6R3	0.313089819948669	0.00278108875350686	1	0.919254658385093	0.6355	0.283754658385093	0.919254658385093	0.6355	0.283754658385093	0.115146882153199	TRUE	0.00679841247449253
CPQ	0.434139127191732	0.00939314886240298	1	0.807453416149068	0.51	0.297453416149068	0.807453416149068	0.51	0.297453416149068	0.0823247796631929	TRUE	0.00662159578919564
FGF2	0.521660331341673	1.77857643325244e-07	1	0.60248447204969	0.3035	0.29898447204969	0.60248447204969	0.3035	0.29898447204969	0.0782399735820412	TRUE	0.00656543538862603
PTPN13	0.425307272259776	0.000885555332234399	1	0.714285714285714	0.4555	0.258785714285714	0.714285714285714	0.4555	0.258785714285714	0.10045759006438	TRUE	0.00647719997717682
CDH11	0.530417412134953	0.0148554025601633	1	0.590062111801242	0.3595	0.230562111801242	0.590062111801242	0.3595	0.230562111801242	0.0974818656131543	TRUE	0.00634751698246118
IRAG1	0.562924341901135	0.000835732693562413	1	0.329192546583851	0.152	0.177192546583851	0.329192546583851	0.152	0.177192546583851	0.156753116882314	TRUE	0.00621816327579667
DDR2	0.904972875498484	0.000645100172508293	1	0.291925465838509	0.1285	0.163425465838509	0.291925465838509	0.1285	0.163425465838509	0.110773924649291	TRUE	0.00613556114849273
WDR49	1.11803349785365	0.000136281279467555	1	0.428571428571429	0.2195	0.209071428571429	0.428571428571429	0.2195	0.209071428571429	0.0570102795832403	TRUE	0.00604699684198185
SNTB1	0.648542352503254	0.0406905265729443	1	0.391304347826087	0.2155	0.175804347826087	0.391304347826087	0.2155	0.175804347826087	0.12199639302322	TRUE	0.00603111684114975
PLSCR4	0.471404743576902	1.15205949812143e-06	1	0.565217391304348	0.289	0.276217391304348	0.565217391304348	0.289	0.276217391304348	0.0872600706670646	TRUE	0.00592098208747511
ATP13A4	0.481149081712373	0.00650421404774997	1	0.440993788819876	0.237	0.203993788819876	0.440993788819876	0.237	0.203993788819876	0.128706379570526	TRUE	0.00581484813681016
ZHX3	0.324526025458444	0.00747421867371439	1	0.850931677018634	0.5715	0.279431677018634	0.850931677018634	0.5715	0.279431677018634	0.0995810516458204	TRUE	0.00577397212786466
CYBRD1	0.361146773014427	0.00696351395679138	1	0.279503105590062	0.1215	0.158003105590062	0.279503105590062	0.1215	0.158003105590062	0.27399764004292	TRUE	0.00572947678382725
