gene	avg_log2FC	p_val_adj	method_support	pct.1	pct.2	specificity	pct1	pct2	spec	coexpr	coexpr_flag	score
Gnrh1	15.1536321120956	0	1	1	0.0045	0.9955	1	0.0045	0.9955	1	TRUE	10.4564307355599
Gng8	6.27102075879201	1.75224530711674e-81	1	0.344827586206897	0.021	0.323827586206897	0.344827586206897	0.021	0.323827586206897	0.76508164907011	TRUE	0.632391943404448
Tstd1	6.32284478090931	8.54312770269036e-76	1	0.229885057471264	0.005	0.224885057471264	0.229885057471264	0.005	0.224885057471264	0.637932649658795	TRUE	0.301459366908408
Rasgrp1	3.14051872826192	7.56870768889991e-41	1	0.459770114942529	0.0985	0.361270114942529	0.459770114942529	0.0985	0.361270114942529	0.426596661013446	TRUE	0.227481826785255
Cxcl14	2.52078308785962	3.95899942537791e-18	1	0.390804597701149	0.132	0.258804597701149	0.390804597701149	0.132	0.258804597701149	0.704203900438188	TRUE	0.199072460044458
Tmprss6	8.76580091893267	2.88648928672909e-65	1	0.160919540229885	5e-04	0.160419540229885	0.160919540229885	5e-04	0.160419540229885	0.503419412541443	TRUE	0.196837881180649
A930003A15Rik	5.49650343156579	5.08913020835357e-52	1	0.195402298850575	0.008	0.187402298850575	0.195402298850575	0.008	0.187402298850575	0.562863625607494	TRUE	0.177645780610335
Rab27b	2.7589476842712	3.087364065671e-20	1	0.517241379310345	0.205	0.312241379310345	0.517241379310345	0.205	0.312241379310345	0.399765698530701	TRUE	0.171676772869983
Fam92b	4.24963162621327	1.00196760943992e-33	1	0.224137931034483	0.0245	0.199637931034483	0.224137931034483	0.0245	0.199637931034483	0.558616136624525	TRUE	0.155521688638472
Pde11a	4.03602854951082	2.55540852632427e-38	1	0.235632183908046	0.0235	0.212132183908046	0.235632183908046	0.0235	0.212132183908046	0.511090663653174	TRUE	0.147231760631094
Pnoc	2.81207469320653	6.27428439567711e-48	1	0.454022988505747	0.0795	0.374522988505747	0.454022988505747	0.0795	0.374522988505747	0.240223364781664	TRUE	0.118163939219352
Epcam	3.59988927113564	6.64442831587824e-56	1	0.195402298850575	0.0065	0.188902298850575	0.195402298850575	0.0065	0.188902298850575	0.566590621736921	TRUE	0.118055455938537
Smim22	5.47300765946036	1.34935000650798e-48	1	0.149425287356322	0.003	0.146425287356322	0.149425287356322	0.003	0.146425287356322	0.520504846731005	TRUE	0.111764641567535
Gchfr	5.57614840641815	1.79812823326263e-40	1	0.149425287356322	0.0055	0.143925287356322	0.149425287356322	0.0055	0.143925287356322	0.472965008601583	TRUE	0.101703980656502
Pirt	7.65059156118743	2.16808215012865e-47	1	0.126436781609195	0.001	0.125436781609195	0.126436781609195	0.001	0.125436781609195	0.423524294256329	TRUE	0.100175247575004
Acbd7	4.16026464753346	7.45861198456866e-30	1	0.189655172413793	0.019	0.170655172413793	0.189655172413793	0.019	0.170655172413793	0.459026155301903	TRUE	0.0983752056925867
Rab3b	2.02767794839163	7.68837618569937e-10	1	0.396551724137931	0.173	0.223551724137931	0.396551724137931	0.173	0.223551724137931	0.49355978921303	TRUE	0.0976544760367311
Six1	4.91299026010462	5.81492955645574e-60	1	0.155172413793103	0.001	0.154172413793103	0.155172413793103	0.001	0.154172413793103	0.448661538521634	TRUE	0.0927906325656368
Rsph1	2.18753119470116	4.42773800008191e-15	1	0.258620689655172	0.0655	0.193120689655172	0.258620689655172	0.0655	0.193120689655172	0.568423100215738	TRUE	0.0846470585782059
Otx1	4.91604330959504	1.48174859516699e-45	1	0.137931034482759	0.0025	0.135431034482759	0.137931034482759	0.0025	0.135431034482759	0.47619558674349	TRUE	0.0816160777729747
Resp18	1.0558357567435	1.02842384827521e-16	1	0.902298850574713	0.638	0.264298850574713	0.902298850574713	0.638	0.264298850574713	0.394197864536064	TRUE	0.0724280129283285
Kiss1r	3.80675757557355	1.72502681505084e-22	1	0.172413793103448	0.021	0.151413793103448	0.172413793103448	0.021	0.151413793103448	0.375330022726614	TRUE	0.0622652059968927
Gas5	1.10818154087837	3.3707538944052e-06	1	0.85632183908046	0.665	0.19132183908046	0.85632183908046	0.665	0.19132183908046	0.455112143803351	TRUE	0.0618924755471806
Six6	1.53702974912213	1.39072515429468e-07	1	0.270114942528736	0.098	0.172114942528736	0.270114942528736	0.098	0.172114942528736	0.628403545413681	TRUE	0.0598879217072199
Prrg2	2.58507353595298	3.27028046248035e-12	1	0.21264367816092	0.0525	0.16014367816092	0.21264367816092	0.0525	0.16014367816092	0.448291830507622	TRUE	0.0593191916594455
Gal	1.30099787129506	4.34495694004038e-23	1	0.413793103448276	0.116	0.297793103448276	0.413793103448276	0.116	0.297793103448276	0.341741088288704	TRUE	0.0590344477605728
Rab25	4.73975993956999	2.66635002212535e-38	1	0.120689655172414	0.0025	0.118189655172414	0.120689655172414	0.0025	0.118189655172414	0.429732230880136	TRUE	0.0579687884621167
Gm15772	2.67342507164925	2.96400362078648e-17	1	0.247126436781609	0.0545	0.192626436781609	0.247126436781609	0.0545	0.192626436781609	0.315089453743768	TRUE	0.0559117183395416
Arg1	6.79663832202928	3.33263355248042e-37	1	0.103448275862069	0.001	0.102448275862069	0.103448275862069	0.001	0.102448275862069	0.359655796727975	TRUE	0.055830686453204
Ecel1	1.91937763533052	4.08551749164618e-24	1	0.471264367816092	0.143	0.328264367816092	0.471264367816092	0.143	0.328264367816092	0.185961957698723	TRUE	0.0557527182590371
