dataset	program	confidence_level	gene	n_genes
HuDeCa nose	mature	high	CHRNA3	1
HuDeCa nose	mature	medium	HCN1, RAB3C	2
HuDeCa nose	migrating	high	CDH22	1
HuDeCa nose	secreting	medium	RAB3C	1
HuDeCa nose	unassigned	medium	ATP8A2, ENSG00000231533, ENSG00000233393, ENSG00000253476, ENSG00000254409, ENSG00000255326, ENSG00000259543, ENSG00000261650, ENSG00000287478, ENSG00000287645, GAD1, GCK, KCTD16, LINC00469, LINC01307, LINC01440, LINC02233, MIR217HG, MIR3663HG, NEUROD4, RP11-481J13.1, S100Z, SLC17A6, SLC35F3	24
Human hPSC	identity	high	ARX, DLX1, DLX2, KLF7, SIX3	5
Human hPSC	mature	high	CHGA, RAB3A, VGF	3
Human hPSC	migrating	high	CTNNA2, RIPOR2, ROBO2, UNC5D	4
Human hPSC	secreting	high	RAB3A	1
Human hPSC	unassigned	medium	AC007938.3, ACOT7, ADGRL1, AES, AFF2, AJAP1, AKR1C1, AKR1C2, ALCAM, ALDH2, AP1S1, APC, ARG2, ATAT1, ATP6V0B, ATP6V0E2, BACH2, BCL11A, BRINP3, BTBD6, C11ORF96, C2ORF80, C4ORF48, CAMK1D, CAPN1, CARMIL1, CCDC3, CDK5R1, CDKN2D, CELF5, CHD5, CLTB, CNTN1, COPG2, CORO1A, CRIP2, CRMP1, CXXC4, DACT1, DLX6-AS1, DNER, DNM3, DOCK5, DPF1, DPP6, DSEL, DUSP4, EFNB2, ENOX1, ETFB, FAM161B, FAM89B, FAT3, FBXL16, FEZ1, FGF14, FGF19, FGF3, FHL1, FNDC4, GABRB2, GAD2, GDPD5, GNAL, GNAO1, GPR153, GPR85, GRIA2, GRID2, GRIK3, GRIN2B, GUK1, HCFC1R1, HCRT, HES4, HIP1R, HPCAL4, HS3ST4, IGLON5, IQSEC3, IRS1, KCNB2, KCNF1, KCNIP1, KCNK10, KHDRBS3, KIF26B, KIFAP3, KLC1, LBH, LINC01201, LINC01508, LRRN3, LY6H, MAPT, MARCH1, MARCH6, MDGA2, MEAF6, MEF2C, MEIS2, MEST, MGAT5, MIR7-3HG, NANOS1, NCAN, NCOA7, NDRG4, NEFL, NME3, NMNAT2, NOS1AP, NPDC1, NPY2R, NQO2, NREP, NRXN2, NRXN3, NSG1, NTM, NUCB2, NXPH1, OPTN, PAPSS1, PCDH7, PDE4D, PKIA, PKN1, PNMA2, PODXL2, PPM1K, PPP1R1A, PRDM12, PRICKLE1, PRKACB, PRKCB, PRKCZ, RAC3, RALYL, RAPGEF2, RAPGEF5, RBFOX1, RCAN3, REPS2, RGS2, RGS7BP, RIMKLA, RRAGD, RUSC1, SCD5, SCGN, SCRT2, SEPT3, SEZ6L, SFXN3, SLC10A4, SLC12A5, SLC32A1, SLC35F4, SLC9A6, SLCO3A1, SLCO5A1, SLITRK5, SLITRK6, SMDT1, SNTG1, SP9, ST8SIA2, SV2A, SYBU, SYT1, SYT13, TENM2, THY1, TLE4, TMEFF2, TMEM132A, TPD52L1, TRIM67, TTLL7, VWC2, WNK2, WSB2, ZFHX3, ZNF428	185
Human HypoMap	identity	high	ZIC4	1
Human HypoMap	identity	medium	ZIC5	1
Human HypoMap	secreting	high	VAMP2	1
Human HypoMap	unassigned	medium	ABCA4, AC092957.1, AL355338.1, AMIGO2, ANO1, AP000462.1, ATP6V0C, BMPR1B-DT, CALY, CCNI, COL6A5, CRABP1, FJX1, GBX2, IQGAP2, LINC02032, NNAT, PGRMC1, PTPRS, RTN1, SARAF, SCAND1, SFRP1, SHISA2, SLC15A1, SLC17A8, SLC18A3, SLC22A17, SLC5A7, SMIM1, SOD1, TC2N, TIMP2, TRPM3, ZIC3	35
Human medial eminence	unassigned	medium	ABCC9, ACADL, ADAMTS9-AS2, AHCYL1, AK3, ANKRD10, ANTXR2, BCL6, BOC, CASP7, CD109, CFAP73, CHI3L1, CPQ, DDR2, ENTPD2, FAM74A1, FAS, FERMT2, FGF2, FRMPD2, GLI2, GLIS3, GMPR, HMBOX1, IRAG1, ITGB5, KB-1303B4.4, KCNE4, LGR4, LGR6, LIFR, LINC00472, LINC01088, LPP, MAPK4, MDFIC, METTL15, MGST1, MIR99AHG, MITF, MPZL1, MYLK, OSBPL9, OSMR-AS1, PARD3B, PAXIP1-AS2, PDLIM3, PDLIM5, PLSCR4, PPARA, PTPN13, RAB29, RANBP3L, RHOBTB3, SAMD4A, SERPINI2, SFXN5, SORBS1, SOX5, SPATA6, SPX, TCF7L2, TRPS1, WDR49, WLS	66
Mouse HypoMap	identity	high	EBF3	1
Mouse HypoMap	identity	medium	MEIS1	1
Mouse HypoMap	mature	high	CHRNB4, KCNMB2, KISS1R, RAB3B, SCN9A	5
Mouse HypoMap	mature	medium	DOC2B, SCG5	2
Mouse HypoMap	migrating	high	DLX6OS1, FREM1, GDNF, TMEM131L	4
Mouse HypoMap	secreting	high	KISS1R, PLD5, RAB27B, RAB3B	4
Mouse HypoMap	secreting	medium	DOC2B, SCG5	2
