"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","stage","reference","specificity","n_donors","donors_positive","donor_support","median_donor_effect"
8.44139319591955e-56,4.28322092123812,0.672,0.079,2.8310744500475e-51,"DLX5","identity","migrating+mature",0.593,NA,NA,NA,NA
2.72149224675871e-54,5.18395150540624,0.613,0.038,9.12734069717938e-50,"DLX1","identity","migrating+mature",0.575,NA,NA,NA,NA
1.7502056349434e-49,2.32005036073522,0.85,0.522,5.86983965847319e-45,"SIX3","identity","migrating+mature",0.328,NA,NA,NA,NA
1.69520762084892e-47,3.27800220451783,1,1,5.68538731880312e-43,"GNRH1","identity","migrating+mature",0,NA,NA,NA,NA
2.53011198273413e-45,4.72420901173914,0.551,0.038,8.48548956769373e-41,"DLX6-AS1","identity","migrating+mature",0.513,NA,NA,NA,NA
6.76833820696946e-45,6.00632908845653,0.516,0.022,2.26996526785342e-40,"RASD1","identity","migrating+mature",0.494,NA,NA,NA,NA
2.42014398149525e-43,4.12156954354203,0.548,0.051,8.11667888513877e-39,"DLX2","identity","migrating+mature",0.497,NA,NA,NA,NA
6.57238013932968e-42,1.88955447841028,0.874,0.62,2.20424485112839e-37,"VCAN","identity","migrating+mature",0.254,NA,NA,NA,NA
1.40148499862062e-40,3.30944916857804,0.572,0.079,4.70030038837384e-36,"GAD2","identity","migrating+mature",0.493,NA,NA,NA,NA
1.91011235742909e-37,3.830008386434,0.496,0.044,6.40613482434569e-33,"DLX6","identity","migrating+mature",0.452,NA,NA,NA,NA
9.93124607387768e-37,3.15947495036401,0.534,0.073,3.3307413082571e-32,"ARX","identity","migrating+mature",0.461,NA,NA,NA,NA
1.73599380243477e-34,1.62107838970015,0.815,0.43,5.82217601460573e-30,"LINC01551","identity","migrating+mature",0.385,NA,NA,NA,NA
3.48359202697145e-31,2.69636911263266,0.528,0.108,1.16832709400568e-26,"RALYL","identity","migrating+mature",0.42,NA,NA,NA,NA
4.04014424518995e-31,1.26182289218448,0.933,0.908,1.35498357695181e-26,"TLE4","identity","migrating+mature",0.025,NA,NA,NA,NA
1.67064062235234e-30,3.47768420699549,0.481,0.082,5.60299451924527e-26,"MEF2C","identity","migrating+mature",0.399,NA,NA,NA,NA
8.96963804431686e-30,3.32375457774615,0.463,0.076,3.00823720730299e-25,"ECEL1","identity","migrating+mature",0.387,NA,NA,NA,NA
1.73804800896296e-29,1.19787931772744,0.933,0.839,5.82906541245997e-25,"MEST","identity","migrating+mature",0.0940000000000001,NA,NA,NA,NA
1.32077534799762e-27,3.12222385011681,0.431,0.06,4.42961636211441e-23,"ISL1","identity","migrating+mature",0.371,NA,NA,NA,NA
7.98574361075882e-27,3.48384168296848,0.425,0.07,2.67825869217629e-22,"LINC01833","identity","migrating+mature",0.355,NA,NA,NA,NA
1.31244910448644e-26,1.37269777595633,0.809,0.509,4.40169180662663e-22,"FOXG1","identity","migrating+mature",0.3,NA,NA,NA,NA
1.77556434254062e-26,4.79394296396285,0.37,0.035,5.95488769201273e-22,"SCGN","identity","migrating+mature",0.335,NA,NA,NA,NA
3.38848135270269e-25,0.409776491448577,1,1,1.13642887606943e-20,"MAP1B","identity","migrating+mature",0,NA,NA,NA,NA
5.45141528134454e-23,1.96839984024415,0.557,0.193,1.82829565705733e-18,"RND3","identity","migrating+mature",0.364,NA,NA,NA,NA
2.78750422624472e-21,4.01436117546621,0.293,0.019,9.34873167397954e-17,"C11orf96","identity","migrating+mature",0.274,NA,NA,NA,NA
3.90339358443726e-21,0.635736280074056,0.979,0.968,1.30912014034857e-16,"CKB","identity","migrating+mature",0.011,NA,NA,NA,NA
2.96388064191422e-19,1.36281229600899,0.727,0.443,9.94026289685192e-15,"GRIA2","identity","migrating+mature",0.284,NA,NA,NA,NA
8.51964932975034e-19,3.51982676321901,0.287,0.032,2.85731999221167e-14,"SLC32A1","identity","migrating+mature",0.255,NA,NA,NA,NA
3.14725265648478e-18,3.37066588081056,0.287,0.035,1.05552559593187e-13,"FGF19","identity","migrating+mature",0.252,NA,NA,NA,NA
1.32555543290129e-17,2.03629845629018,0.334,0.06,4.44564781086433e-13,"SEMA3C","identity","migrating+mature",0.274,NA,NA,NA,NA
4.12382500333967e-17,3.57284979337889,0.267,0.032,1.38304842962006e-12,"SOX1","identity","migrating+mature",0.235,NA,NA,NA,NA
4.17434824970051e-17,3.34429951773583,0.264,0.028,1.39999291598456e-12,"SP8","identity","migrating+mature",0.236,NA,NA,NA,NA
1.41966449615063e-16,3.36929146719387,0.273,0.038,4.76127078718997e-12,"UNC5D","identity","migrating+mature",0.235,NA,NA,NA,NA
4.60355887624924e-16,2.94876377864089,0.267,0.038,1.54394157591647e-11,"NTRK1","identity","migrating+mature",0.229,NA,NA,NA,NA
4.62339181110571e-16,4.1417742516606,0.243,0.025,1.55059314560863e-11,"FGF3","identity","migrating+mature",0.218,NA,NA,NA,NA
6.48283510104229e-16,4.7613694813896,0.214,0.013,2.17421323618756e-11,"SP9","identity","migrating+mature",0.201,NA,NA,NA,NA
2.43179647577634e-15,2.9794994708322,0.264,0.041,8.15575902045868e-11,"UTRN","identity","migrating+mature",0.223,NA,NA,NA,NA
3.91237762737895e-15,0.715292703659569,0.93,0.896,1.31213320867035e-10,"ZFHX3","identity","migrating+mature",0.034,NA,NA,NA,NA
6.53563299459801e-15,0.730733652485172,0.959,0.924,2.19192059372828e-10,"NEFL","identity","migrating+mature",0.0349999999999999,NA,NA,NA,NA
8.12988686202145e-15,2.38267499359404,0.273,0.047,2.72660145578475e-10,"RBFOX1","identity","migrating+mature",0.226,NA,NA,NA,NA
1.35156704913668e-14,3.08658049144901,0.249,0.038,4.5328855693946e-10,"AJAP1","identity","migrating+mature",0.211,NA,NA,NA,NA
3.77688282510469e-14,1.74815794222208,0.419,0.158,1.26669096188361e-09,"HCRT","identity","migrating+mature",0.261,NA,NA,NA,NA
